pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
118.8,-90.0,0.0,top,C1,,,C_0805_2012Metric,22uf,smt
123.55,-93.75,0.0,top,C2,,,C_0805_2012Metric,22uf,smt
104.75,-85.6,90.0,top,D1,,,D_SOD-123,1N5819,smt
123.6,-90.0,180.0,top,D2,,,D_SOD-123,SS14,smt
88.475,-92.5,0.0,top,D3,,,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,LED,smt
93.025,-92.5,0.0,top,D4,,,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,LED,smt
133.0,-111.5,90.0,top,J1,,,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,BAT,tht
88.5,-101.0,-90.0,top,J2,,,"TerminalBlock_Phoenix_PT-1,5-2-3.5-H_1x02_P3.50mm_Horizontal",LED,tht
90.075,-85.82,-90.0,top,J3,,,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,USB_C_Receptacle_USB2.0_16P,smt
123.65,-85.5,0.0,top,L1,,,L_Sunlord_SWPA5020S,4.7uh,smt
109.3125,-85.5,0.0,top,Q1,,,SOT-23,AO3401A,smt
109.0875,-90.0,0.0,top,R1,,,R_0805_2012Metric,1k,smt
114.5875,-90.0,180.0,top,R2,,,R_0805_2012Metric,10k0,smt
104.5,-90.8375,-90.0,top,R3,,,R_0805_2012Metric,100,smt
88.5875,-95.0,180.0,top,R4,,,R_0805_2012Metric,100,smt
118.0,-77.0,0.0,top,RV1,,,Potentiometer_Bourns_3296W_Vertical,10k,tht
99.5875,-91.0,0.0,top,R_prog1,,,R_0805_2012Metric,10k0,smt
100.1625,-79.25,180.0,top,TH1,,,R_0805_2012Metric,Thermistor_NTC,smt
99.405,-85.275,-90.0,top,U1,,,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.3mm_ThermalVias,TP4056-42-ESOP8,smt
115.6375,-85.45,0.0,top,U2,,,SOT-23-6,MT3608,smt
